No,Location,No Spaces,Exact Location,Tariff,Hours of Operation,Clr-Way,X_Value,Y_Value,Zone
831,Griffith Avenue,75 P&D / DP,At The School / Opposite Number 31,€1.00,Mon-Fri 12.00-17.00,TRUE,317697,236997,Orange
833,Raheny Road,10 P&D / DP,Opposite Number 180,€1.00,Mon-Fri 08.00-18.30,FALSE,321397,238557,Orange
834,Fairfield Park,30 P&D / DP,Jct Highfield Road,€1.00,Mon-Sun 07.00-24.00,FALSE,315276.8646,230523.4286,Orange
835,Dolphin Avenue,34 P&D / DP,Junction of SCR,€1.60,Mon-Sat 07.00-24.00,FALSE,314137,232669,Green
836,Killeen Road,67 P&D / DP,"Junction of Belgrave Road, Opposite Number 49",€1.60,Mon-Sat 07.00-19.00,FALSE,316098,231422,Green
837,Drumcondra Road Lower,21 P&D (Total),"At Number 33/35, At the Railway Bridge",€1.60,Mon-Sat 07.00-19.00,FALSE,316013,236141,Green
839,Pearse Street,90spaces in total,Opposite Unit 10 (Tocana Ltd),€2.70,Mon-Sat 07.00-19.00,FALSE,317259,233912,Red
841,Price's Place,16 P&D / DP,Opposite Number 34,€2.70,Mon-Sat 07.00-24.00,FALSE,315888,232310,Red
842,Airfield Park,37 P&D / DP,Junction Of Stillorgan Road / At Number 1,€1.00,Mon-Fri 07.00-19.00,FALSE,318244,230818,Orange
844,Phibsborough Road,43 P&D / DP,McGowan's Pub,€2.70,Mon-Sat 07.00-19.00,FALSE,314989,235353,Red
846,Merton Drive,44 P&D / DP,At Number 20,€1.60,Mon-Sun 07.00-19.00,FALSE,316421,230778,Green
847,Liffey Street West,6 P&D / DP,"Exact middle of the street, Apartment side",€1.60,Mon-Sat 07.00-19.00,FALSE,314250,234367,Green
848,Drumcondra Road Lower,21 P&D (Total),At Grattan Parade Junction,€1.60,Mon-Sun 07.00-24.00,FALSE,315954,236076,Green
849,Arranmore Avenue,13 P&D,Junction N.C.R,€1.60,Mon-Sun 07.00-24.00,FALSE,315213,235875,Green
851,Neville Road,73 P&D / DP,Side of No. 74 Highfield Road,€1.00,Mon-Fri  07.00-19.00,FALSE,315526,230608,Orange
