No,Location,No Spaces,Exact Location,Tariff,Hours of Operation,Clr-Way,X_Value,Y_Value,Zone
5189,Townsend Street,5 P&D,,€3.20,Mon-Sat 10.00-16.00,TRUE,316443.84,234233.79,Yellow
5191,Lombard Street East,25 P&D + 18 DP (Total),Murphy Solicitors,€3.20,Mon-Fri 08.00-18.30,FALSE,316672.494,234097.5695,Yellow
5192,Lombard Street East,25 P&D + 18 DP (Total),Opposite Joyce House Entrance,€3.20,Mon-Fri 08.00-18.30,FALSE,316674,234146,Yellow
5193,Lombard Street East,25 P&D + 18 DP (Total),At Number 11,€3.20,Mon-Fri 08.00-18.30,FALSE,316688.5852,234144.6762,Yellow
5194,Father Matthew Square,25 spaces,at side of No. 51,€3.20,Mon-Sat 07.00-19.00,FALSE,315015.85,234524.71,Yellow
5195,Cathedral Street,2 P&D,Opposite Number 7 / At Trocaire,€3.20,Mon-Sat 07.00-19.00,FALSE,315947,234755,Yellow
5196,Elgin Road,112 P&D / DP (Total),Near corner of Raglan Lane,€3.20,Mon-Fri 08.00-18.30,FALSE,317321.2208,232563.1773,Yellow
5197,Clyde Road,80 P&D / DP (Total),At Church,€3.20,Mon-Fri 10.00-18.00,FALSE,317577.7858,232470.4928,Yellow
5198,Clyde Road,80 P&D / DP (Total),At Number 22,€3.20,Mon-Fri  10.00-18.00,FALSE,317375,232353,Yellow
5199,Clyde Road,80 P&D / DP (Total),Corner of Raglan Lane,€3.20,Mon-Fri 10.00-18.00,FALSE,317299.5795,232332.9276,Yellow
5200,Wellington Place,48 P&D / DP,No 29,€3.20,Mon-Fri 08.00-18.30,FALSE,317063.9843,232265.313,Yellow
5201,Wellington Road,126 P&D / DP (Total),No 83,€3.20,Mon-Fri 08.00-18.30,FALSE,317187.2466,232344.3583,Yellow
5202,Waterloo Road,9 P&D + 72 DP (Total),Near no 89,€3.20,Mon-Fri 08.00-18.30,FALSE,316969.8432,232416.0089,Yellow
5203,Waterloo Lane,10 P&D / DP,At Number 29,€3.20,Mon-Fri 08.00-18.30,FALSE,316862.2623,232340.8074,Yellow
5204,Sussex Road,9 P&D + 45 DP (Total),Bank of Ireland,€3.20,Mon-Sat 07.00-19.00,FALSE,316708.3991,232433.5162,Yellow
5205,Sussex Road,9 P&D + 45 DP (Total),At Number 11,€3.20,Mon-Sat 07.00-19.00,FALSE,316588.565,232532.3817,Yellow
5210,Pembroke Gardens,50 Spaces,side of no 25,€3.20,Mon-Sat 07.00-24.00,FALSE,317431.83,232921.22,Yellow
5212,Wilton Terrace,69 P&D + 71 DP (Total),At The Park / Junction Of W'side Wilton Place,€3.20,Mon-Sat 07.00-19.00,FALSE,316725.7,232886.79,Yellow
5213,Wilton Terrace,2 spaces only,At Wilton House Car Park,€3.20,Mon-Sat 07.00-19.00,FALSE,316520,232777,Yellow
5214,Cumberland Road,17 P&D + 16 DP (Total),Opposite 7A,€3.20,Mon-Sat 07.00-19.00,FALSE,316514.9872,232911.3088,Yellow
5216,Fitzwilliam Square East,61 P&D (Total),The Park,€3.20,Mon-Fri 07.00-19.00,FALSE,316558.312,233050.5046,Yellow
5217,Fitzwilliam Street Upper,86 P&D + 7 DP (Total),No 17,€3.20,Mon-Sat 07.00-19.00,FALSE,316601.0269,233120.6702,Yellow
5218,Fitzwilliam Street Upper,86  P/D & 14 PP,At No. 27,€3.20,"Mon-Fri 07.00-19.00,",FALSE,316627,233124,Yellow
5220,Fitzwilliam Street Lower,63 P&D/DP (Total),Opp Merrion House No 1-2,€3.20,Mon-Sat 07.00-19.00,FALSE,,,Yellow
5221,Mount Street Upper,74 P&D + 4 DP (Total),No 57,€3.20,Mon-Sat 07.00-19.00,FALSE,316814.2912,233369.0537,Yellow
5222,Mount Street Upper,74 P&D + 4 DP (Total),No 16,€3.20,Mon-Sat 07.00-19.00,FALSE,316899.2239,233337.5198,Yellow
5223,Mount Street Upper,74 P&D + 4 DP (Total),No 26,€3.20,Mon-Sat 07.00-19.00,FALSE,316960.9814,233286.2744,Yellow
5224,Mount Street Crescent,35 P&D + 8 DP (Total),Corner of Warrington Place,€3.20,Mon-Sat 07.00-19.00,FALSE,317035.4082,233279.3516,Yellow
5225,Mount Street Crescent,35 P&D + 8 DP (Total),The side of the church,€3.20,Mon-Sat 07.00-19.00,FALSE,317043.079,233260.939,Yellow
5226,Mount Street Crescent,35 P&D + 8 DP (Total),The side of the church,€3.20,Mon-Sat 07.00-19.00,FALSE,317026.7217,233246.0971,Yellow
5228,Baggot Street Lower,97 P&D + 4 DP (Total),Number 94,€3.20,Mon-Sat 07.00-19.00,FALSE,316807.9729,233102.3439,Yellow
5229,Baggot Street Lower,97 P&D + 4 DP (Total),Bank Of Ireland,€3.20,Mon-Sat 07.00-19.00,FALSE,316779.4967,233161.5519,Yellow
5230,Baggot Street Lower,97 P&D + 4 DP (Total),Number 103,€3.20,Mon-Sat 07.00-19.00,FALSE,316762.2982,233149.7103,Yellow
5231,Baggot Street Lower,97 P&D + 4 DP (Total),Number 124,€3.20,Mon-Sat 07.00-19.00,FALSE,316577.0617,233292.9373,Yellow
5232,Baggot Street Lower,97 P&D + 4 DP (Total),Tesco,€3.20,Mon-Sat 07.00-19.00,FALSE,316505.8574,233350.3503,Yellow
5233,Baggot Street Lower,97 P&D + 4 DP (Total),Number 135,€3.20,Mon-Sat 07.00-19.00,FALSE,316492.3878,233335.1639,Yellow
5236,Fitzwilliam Square West,24 P/D (Total),,€3.20,Mon-Sat 07.00-19.00,FALSE,316412.39,233084.02,Yellow
5239,Earlsfort Terrace,60 P&D / DP (Total),Hotel - Opposite Concert Hall,€3.20,Mon-Sat 07.00-19.00,FALSE,316089.8485,232964.0297,Yellow
5240,Earlsfort Terrace,60 P&D / Dp(Total),Seagrave House,€3.20,Mon-Sat 07.00-19.00,FALSE,316060.5912,232819.8356,Yellow
5241,Charlemont Street,27 P&D + 3 DP (Total),At Light-Stand 6,€3.20,Mon-Sat 10-00-19.00,FALSE,315845.8502,232629.4288,Yellow
5242,Dartmouth Road,51 P&D / DP (Total),At Beta-set Design & Printing,€3.20,Mon-Fri 08.00-18.30,FALSE,316090.4497,232405.0185,Yellow
5243,Grand Canal Street Upper,56 P&D / DP,Opposite Number 26,€3.20,Mon  -Sun 07.00 - 24.00,FALSE,317556,233368,Yellow
5244,Estate Cottages,10 P&D + 22 DP,Junction Of Northumberland Road,€3.20,Mon-Sat 07.00-24.00,FALSE,317308,233359,Yellow
5246,Holles Row,9 P/D + 1 Disabled bay,opposite number 4,€3.20,Mon-Sun 07.00-24.00,FALSE,316939.78,233630.7,Yellow
5249,Pearse Street,5 P & D,,€3.20,Mon-Sat 07.00-19.00,FALSE,316495.27,234123.78,Yellow
5251,Ranelagh Avenue,16 P&D / DP,At Number 8,€2.70,Mon-Sun 07.00-24.00,FALSE,316332.3318,231975.9991,Red
5256,Pearse Street,90spaces in total,Jct Pearse Grove,€2.70,Mon-Sat 07.00-19.00,FALSE,317059,233932,Red
5257,Donnybrook Road (Car Park),16 P&D,Near Fire Station,€2.70,Mon-Sat 07.00-19.00,FALSE,317548.3305,231606.0448,Red
5260,Brighton Road,133 P&D / DP (Total),North of WestSide Terenure Road East,€1.00,Mon-Sat 07.00-24.00,FALSE,314826.0315,230387.4201,Orange
5261,Wexford Street,14 P&D (Total),At Paddy Powers',€3.20,Mon-Sat 07.00-19.00,FALSE,315568.6092,233272.8411,Yellow
5262,Bridgefoot Street,29 P&D / DP (Total),Island Street Junction,€2.70,Mon-Sat 07.00-19.00,FALSE,314550,234126,Red
5264,School Street,16 P&D,Behind Guinness at flats/at school,€2.70,Mon-Sat 07.00-19.00,FALSE,314401.3109,233711.7852,Red
5265,South Lotts Road,63 P&D / DP (Total),Near Sth Dock St,€2.70,Mon-Sat 07.00-24.00,FALSE,317821.1046,233690.6873,Red
5268,Francis Street,43 P&D + 26 DP (Total),Opposite Viking Lodge Pub,€3.20,Mon-Sat 07.00-19.00,FALSE,314937.38,233733.8693,Yellow
5269,Francis Street,43 P&D + 26 DP (Total),No 104,€3.20,Mon-Sat 07.00-19.00,FALSE,314972.7813,233654.2956,Yellow
5270,Francis Street,43 P&D + 26 DP (Total),No 54,€3.20,Mon-Sat 07.00-19.00,FALSE,314990.5348,233641.8259,Yellow
5271,Francis Street,43 P&D + 26 DP (Total),No 64,€3.20,Mon-Sat 07.00-19.00,FALSE,315035.4319,233523.9401,Yellow
5272,Beresford Lane,7 P&D,Side of Social Welfare,€3.20,Mon-Sat 07.00-19.00,FALSE,316298.0003,234685.9736,Yellow
5274,Deverell Place,6 P&D,Custom Hall,€3.20,Mon-Sat 07.00-19.00,FALSE,316222.534,234865.2643,Yellow
5275,Northumberland Square,2 P&D,Side of Irish Life / On Bend In The Road,€3.20,Mon-Sat 07.00-19.00,FALSE,316185,234617,Yellow
5277,Dorset Street Upper,37 P&D (Total),beside flats,€3.20,Mon-Sat 10.00-16.00,TRUE,315387,235068,Yellow
5278,Dorset Street Upper,37 P&D (Total),Side Of Dominick St Church,€3.20,Mon-Sat 10.00-19.00,TRUE,315419.6588,235087.6763,Yellow
5279,Linenhall Street,24 P&D / DP,No 15,€3.20,Mon-Sun 07.00-24.00,FALSE,315078.3704,234765.0144,Yellow
5280,Coleraine Street,34 P&D / DP,At Kevin Barry Flats,€3.20,Mon-Sun 07.00-24.00,FALSE,315025.0234,234805.1833,Yellow
5282,Pleasants Street,13 P&D + 19 DP (Total),No 46,€3.20,Mon-Sat 07.00-19.00,FALSE,315577.7409,233070.1745,Yellow
5283,Seán McDermott Street,71 P&D / DP (Total),At Swimming Pool,€2.70,Mon-Sat 07.00-19.00,FALSE,316500.2488,235167.0283,Red
5284,Victoria Street,80 P&D / DP,No 37,€2.70,Mon-Sun 07.00-24.00,FALSE,315307.0442,232592.6791,Red
5285,Morehampton Road,15 P&D + 44 DP (Total),No 125,€2.70,Mon-Sat 07.00-19.00,FALSE,317408.5852,231745.7072,Red
5289,Talbot Place,13 P&D,Opp Jacobs Inn,€2.70,Mon-Sat 07.00-19.00,FALSE,316481.071,234762.7013,Red
5290,North Wall Quay,31 P&D (Total),At Tilesavers,€1.60,Mon-Sat 07.00-19.00,FALSE,317707.92,234425.73,Green
5291,Cambridge Avenue,27 PD/PP,,€1.00,Mon-Sun 07.00-24.00,FALSE,318846.22,233959.47,Orange
5293,Moyne Road,154 P&D / DP (Total),Junction Of Dunville Avenue,€1.60,Mon-Sat 07.00-19.00,FALSE,316276.6285,231464.7601,Green
5294,Pembroke Gardens,19 P&D / DP,opposite No.72,€3.20,Mon-Sat 07.00-24.00,FALSE,317304.26,232865.41,Yellow
5299,Amiens Street,58 P&D (Total),Junction Of Store Street,€2.70,Mon-Sat 07.00-16.00,TRUE,316547.5588,234802.2541,Red
5300,Anglesea Road,105 P&D / DP (Total),Near Merrion Rd,€2.70,Mon-Sat 10:00-19.00,TRUE,317921.46,232318.3,Red
5305,Chelmsford Road,23 P&D / DP,at number 15 Almost opposite Chelmsford Avenue,€2.70,Mon-Fri  10.00-16.00 Sat 07.00-19.00,TRUE,316532.09,232006.1,Red
5306,Clanbrassil Street Lower,30 P&D (Total),At DIY Store,€2.70,Mon-Sat 10.00-19.00,TRUE,314945.8316,232803.3306,Red
5307,Clanbrassil Street Lower,30 P&D (Total),At Light-Stand 35,€2.70,Mon-Sat 07.00-16.00,TRUE,314964.4702,232819.3857,Red
5315,Guild Street,12 P/D,,€3.20,Mon-Sat 07.00-19.00,FALSE,317189.34,234699.84,Yellow
5316,Haddington Road,145 P&D / DP (Total),At Number 96,€3.20,Mon-Sat 07.00-19.00,FALSE,317523.7079,233254.4739,Yellow
5317,Haddington Road,145 P&D / DP (Total),No 44,€3.20,Mon-Sat 07.00-19.00,FALSE,317271.5105,233120.5578,Yellow
5320,Herbert Street,82 P&D + 1 DP (Total),Corner of Baggot St Lwr,€3.20,Mon-Sat 07.00-19.00,FALSE,316886.3531,233064.2816,Yellow
5322,Northumberland Road,54 P&D / DP,Irish Cancer Society,€3.20,Mon-Fri 10.00-16.00,TRUE,317303.4601,233292.2865,Yellow
5323,Herbert Street,82 P&D + 1 DP (Total),At Appartments,€3.20,Mon-Sat 07.00-19.00,FALSE,316926.9529,233140.6881,Yellow
5324,Herbert Street,82 P&D + 1 DP (Total),No 23,€3.20,Mon-Sat 07.00-19.00,FALSE,316885.3958,233088.0836,Yellow
5325,Hatch Street Upper,57 P&D (Total),Deloitte Touche House,€3.20,Mon-Sat 07.00-19.00,FALSE,316025.6431,232890.1321,Yellow
5326,Holles Street,10 P&D,At Holles Row,€3.20,Mon-Sat 07.00-19.00,FALSE,316897.3505,233684.2053,Yellow
5328,Inns Quay,32 P&D + 1 DP (Total),Liffey side,€3.20,Mon-Sat 07.00-19.00,FALSE,315057.9045,234175.5306,Yellow
5329,Inns Quay,32 P&D + 1 DP (Total),Liffey side,€3.20,Mon-Sat 07.00-19.00,FALSE,314923.0225,234191.0238,Yellow
5330,Inns Quay,32 P&D + 1 DP (Total),Liffey side,€3.20,Mon-Sat 07.00-19.00,FALSE,315000.4885,234179.1761,Yellow
5331,Kevin Street Lower,16 P&D (Total),DIT,€3.20,Mon-Sat 07.00-19.00,FALSE,315439.3502,233300.035,Yellow
5332,King's Inns Street,45 P&D (Total),Parnell Centre,€3.20,Mon-Sat 07.00-19.00,FALSE,315463.9144,234783.637,Yellow
5334,Leeson Park,104 P&D / DP (Total),Opposite Church,€3.20,Mon-Fri 08.00-18.30,FALSE,316458.6677,232449.9136,Yellow
5335,Morehampton Road,15 P&D + 44 DP (Total),At Hotel,€2.70,Mon-Sat 07.00-19.00,FALSE,317159.6093,232045.0373,Red
5336,Lime Street,30 P&D,"Opposite 'The Windmill', Number 25-30",€2.70,Mon-Sat 07.00-19.00,FALSE,317023,234236,Red
5337,Macken Street,20 P&D + 120 DP (Total),At Piryan's & Sons,€2.70,Mon-Fri 08.00-18.30,FALSE,317199.8864,234037.8152,Red
5340,Rathgar Avenue,20 Spaces,O/S No. 7,€1.00,Mon-Fri 10.00-19.00,TRUE,315007,230548,Orange
5341,Belvidere Place,38 P/D & PP,Opposite No. 5,€2.70,Mon-Sun 07.00-24.00,FALSE,316063,235579,Red
5342,Spencer St South,22 P&D / PP,Junct of St. Vincent St Sth,€2.70,Mon-Sat 07.00-24.00,FALSE,315061,232761,Red
5343,Morehampton Road,15 P&D + 44 DP (Total),At Number 34,€2.70,Mon-Sat 07.00-19.00,FALSE,317139.6187,232106.7065,Red
5344,Merchant's Quay,38 P&D (Total),Numbers 8-9 & Opposite meter 1292,€3.20,Mon-Sat 07.00-19.00,FALSE,314943,234126,Yellow
5345,Merchant's Quay,38 P&D (Total),Numbers 20-23 & Opposite meter 111,€3.20,Mon-Sat 07.00-19.00,FALSE,315081.42,234111.16,Yellow
5351,Blackhall Place,5 P&D / DP (Total),Opposite The Gravel Walk Court,€2.70,Mon-Sat 10.00-16.00,TRUE,314444,234441,Red
5352,Monck Place,43 P&D / DP,At Number 31 / Opposite Clarke's Pub,€2.70,Mon-Sat 07.00-19.00,FALSE,314971,235646,Red
5353,Morehampton Road,15 P&D + 44 DP (Total),At Bulton's Pantry,€2.70,Mon-Sat 07.00-19.00,FALSE,317333.8674,231841.1705,Red
5355,Mount Street Crescent,35 P&D + 8 DP (Total),No 4,€3.20,Mon-Sat 07.00-19.00,FALSE,317111.0185,233221.056,Yellow
5356,Herbert Place,30 P&D / DP (Total),Opposite Number 23,€3.20,Mon-Sat 07.00-19.00,FALSE,317074.1098,233143.3899,Yellow
5357,Mountjoy Square South,11 P&D + 8 DP (Total),Park Gate,€2.70,Mon-Sat 07.00-19.00,FALSE,316118.1799,235363.9016,Red
5358,Mountpleasant Square,93 P&D / DP,Corner of Ranelagh Rd,€2.70,Mon-Sun 07.00-24.00,FALSE,316088.5928,232120.5143,Red
5359,North Circular Road,17 P&D / DP,Dorset St to Sherrard St,€2.70,Mon-Sat 07.00-24.00,FALSE,315856.09,235752.0652,Red
5361,Mount Street Upper,74 P&D + 4 DP (Total),No 2,€3.20,Mon-Sat 07.00-19.00,FALSE,316813.6046,233386.2427,Yellow
5364,Pembroke Cottages (Donnybrook),44 P&D / DP,Opposite Number 74,€2.70,Mon-Sat 07.00-24.00,FALSE,317577.3232,231695.8396,Red
5365,Bow Street,10 P&D/DP,,€2.70,Mon - Sun 07.00-24.00,FALSE,314855.04,234562.8,Red
5367,Ovoca Road,60 P&D / DP,Opposite Number 10,€2.70,Mon - Sun 7.00-24.00,FALSE,315292.7695,232855.7404,Red
5368,Poolbeg Street,10 P&D,Opposite Corn Exchange entrance,€3.20,Mon-Sat 07.00-19.00,FALSE,316180,234346,Yellow
5370,Verschoyle Place,27 P&D / DP,"No 55, Off Mount Street Lower",€3.20,Mon-Sat 07.00-19.00,FALSE,316936.8139,233430.4609,Yellow
5371,New Bride Street,20 P&D / DP (Total),No 20,€3.20,Mon-Sun 07.00-24.00,FALSE,315354.7909,233164.7336,Yellow
5372,Parnell Street,21 P&D (Total),Connie's Take-away,€3.20,Mon-Sat 10.00-16.00,TRUE,315958.7646,235098.0944,Yellow
5373,Percy Place,121 P&D / DP (Total),No 49-51,€3.20,Mon-Sat 07.00-19.00,FALSE,317159.8571,233177.6591,Yellow
5374,Raglan Road,91 P&D / DP,Corner of Pembroke Lane,€3.20,Mon-Fri 08.00-18.30,FALSE,317445.534,232711.2113,Yellow
5375,Ranelagh,28 P&D + 32 DP (Total),Duds o suds Dry cleaning,€2.70,Mon-Sat 10.00-15.00,TRUE,316625.4623,231759.8232,Red
5379,Lansdowne Road,49 P&D / DP (Total),No 42,€3.20,Mon-Fri 08.00-18.30,FALSE,317802.1168,232932.9316,Yellow
5381,John Dillon Street,66 P&D / DP (Total),Opp no. 50,€3.20,Mon-Sun 07.00-24.00,FALSE,315050.1358,233724.8868,Yellow
5382,Stamer Street,38 P&D / DP (Total),At Lennox Street / No 1,€2.70,Mon-Sat 07.00-19.00,FALSE,315423.9118,232602.486,Red
5383,Yarnhall Street,5 P&D / DP,"Bodkins Pub, sthside, west of Bolton St",€3.20,Mon-Sat 07.00-19.00,FALSE,315242.4453,234835.1234,Yellow
5385,Synge Street,112 P&D / DP (Total),replaced meter 7415 26/7/2014,€2.70,Mon-Sun 07.00-24.00,FALSE,315512.4928,232720.912,Red
5387,Talbot Street,20 P&D (Total),Ripley Court Hotel,€2.70,Mon-Sat 07.00-19.00,FALSE,316508.6177,234856.4429,Red
5389,Thomas Street,17 P&D (Total),Between 39 & 40,€2.70,Mon-Sat 10.00-16.00,TRUE,314613,233868,Red
5390,Thomas Street,17 P&D (Total),At Iceland,€2.70,Mon-Sat 10.00-16.00,TRUE,314589.3048,233890.4134,Red
5391,Warrington Place,26 P&D / DP,Opp no 8,€3.20,Mon-Fri 08.00-18.30,FALSE,317182.9187,233267.9151,Yellow
5392,Waterloo Road,9 P&D + 72 DP (Total),Corner of Fleming Place,€3.20,Mon-Sat 07.00-19.00,FALSE,317044.9609,232746.5239,Yellow
5394,Wellington Road,126 P&D / DP (Total),No 1A,€3.20,Mon-Fri 08.00-18.30,FALSE,317247.0493,232688.6982,Yellow
5399,Saint Georges Avenue,34 P&D/DP,side of 55b Fitzroy Avenue,€1.60,Mon - Fri 07.00 - 19.00,FALSE,316082.61,236066.7,Green
5404,Beechwood Park,30 P&D / DP,Off Dunville Avenue,€1.60,Mon-Sun 07.00-24.00,FALSE,316139.9501,231505.9728,Green
5405,Palmerston Road,112 P&D / DP (Total),Number 82,€1.60,Mon-Fri 07.00-18.30,FALSE,316035.2489,231386.1826,Green
5406,Old Kilmainham,18 P&D / DP,At Number 31,€1.60,Mon-Fri 08.00-18.30,FALSE,312979,233599,Green
5408,Leinster Street North,72 P&D / DP,At ATD Security,€1.60,Mon-Sun 07.00 - 24.00,FALSE,315048.1031,236220.19,Green
5409,Cork Street,76 P&D / DP (Total),Opposite Donnelly Centre,€1.60,Mon-Sat 07.00-19.00,FALSE,314551.6739,233367.4139,Green
5410,Garten Avenue,10 sps. also serves Iona Rd,,€1.60,Mon-Sun 07.00-24.00,FALSE,315584.04,236448.86,Green
5413,Cherrymount Park,21 P&D/DP,,€1.60,Mon-Fri 08.00-18.30,FALSE,314551.61,235734.35,Green
5414,North Circular Road,4 P&D + 2 DP,o/s 296B North Circular Road,€2.70,Mon-Sat 07.00-19.00,FALSE,314760,235795,Red
6000,Fishamble Street,11 P&D (Total),Opp Civic Offices,€3.20,Mon-Sat 07.00-19.00,FALSE,315288.8428,234060.7847,Yellow
6001,Anne Street South,6 P&D,Number 17,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,316031.0323,233700.0726,Yellow
6002,Aston Quay,7 P&D,Opposite Boots & Aston Place,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315884,234316,Yellow
6003,Bow Lane East,9 P&D,"Junction of Mercer Street, N'side",€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315669,233551,Yellow
6004,Capel Street,75 P&D (Total),At CASA Charity Shop,€3.20,Mon-Sat 07.00-19.00 Sun14.00-18.00,FALSE,315371,234414,Yellow
6005,Capel Street,75 P&D (Total),At No. 137,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315351.1301,234448.5896,Yellow
6006,Capel Street,75 P&D (Total),No 101,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315302.2012,234684.8499,Yellow
6007,Capel Street,75 P&D (Total),Corner of Ryders Row,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315293.2251,234670.186,Yellow
6008,Capel Street,75 P&D (Total),near Centra,€3.20,Mon-Sat 07.00-19.00 Sun14.00-18.00,FALSE,315320.26,234575.1,Yellow
6009,Cuffe Lane,17 P&D + 12 DP,near Number 5,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315702.55,233361.08,Yellow
6010,D Olier Street,6 P&D,,€3.20,Mon-Sat 07.00-19.00  Sun 14.00-18.00,FALSE,316078,234263,Yellow
6013,Drury Street,7 P&D,Number 17,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00,",FALSE,315703.8047,233796.9262,Yellow
6014,Frederick Street South,33 P&D (Total),No 3-4,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,316149.3458,233756.8984,Yellow
6015,Frederick Street South,33 P&D (Total),Corner of Setanta Place,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,316167.7406,233796.0507,Yellow
6016,Gardiner Street Lower,29 P&D (Total),Custom Hall,€3.20,Mon-Sat 07.00-16.00,TRUE,316233.7563,234886.0086,Yellow
6017,Gardiner Street Lower,29 P&D (Total),No 38,€3.20,Mon-Sat 07.00-16.00,TRUE,316264.0922,234821.5265,Yellow
6018,Grantham Street,6 P&D + 45 DP (Total),At Heytesbury Street / No 72,€3.20,Mon-Sun 07.00-24.00,FALSE,315404.7457,232895.1989,Yellow
6019,Hatch Street Lower,49 P&D + 3 DP (Total),No 25,€3.20,Mon-Sat 07.00-19.00,FALSE,316182.6502,232903.0958,Yellow
6020,Leinster Street South,11 P&D (Total),Leinster Coffee House,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,316329.1806,233819.6771,Yellow
6021,Longford Street Great,7 P&D,At Coughlan's,€3.20,Mon-Sat 07.00-19.00,FALSE,315547.6275,233647.9189,Yellow
6022,Longford Street Little,10 P&D (Total),Aungier Street Junction,€3.20,Mon-Sat 07.00-19.00 Sun 14.00-18.00,FALSE,315597.2456,233649.3365,Yellow
6023,Mary Street,9 P&D,No 6,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315397.2669,234520.2975,Yellow
6024,Merrion Square North,35 P&D (Total),Opp No 10,€3.20,Mon-Sat 07.00-19.00,FALSE,316675.03,233647.28,Yellow
6025,Mespil Road,10 P&D,,€3.20,Mon-Sat 10.00-16.00,TRUE,316896.6,232904.5,Yellow
6026,Mespil Road,27 P&D + 40 DP (Total),Canal side,€3.20,Mon-Sat 07.00-19.00,FALSE,316709.9278,232824.2778,Yellow
6027,Molesworth Street,30 P&D (Total),Govt Publications Office,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,316104.6245,233728.2092,Yellow
6028,Nassau Street,14 P&D (Total),Kilkenny Design,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,316244.1746,233846.1522,Yellow
6029,Noel Purcell Walk,10 P&D (Total),Noel Purcell Walk,€3.20,Mon-Sat 07.00-19.00 Sun 14.00-18.00,FALSE,315665.9498,233633.2761,Yellow
6030,Mercer Street,37 P&D (Total),At flats,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315653.3036,233376.3993,Yellow
6031,Mercer Street,37 P&D (Total),At flats,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315641.4941,233382.8408,Yellow
6032,Mercer Street,37 P&D (Total),At flats,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315641.8967,233416.5248,Yellow
6033,Mercer Street,37 P&D (Total),At flats,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315651.8274,233419.2087,Yellow
6034,Mercer Street,37 P&D (Total),Junction Of Cuffe Street,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315643.6413,233332.7846,Yellow
6035,Ormond Quay Upper,53P&D (Total),Liffey Side Opp Number 27,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315231.9333,234192.9689,Yellow
6036,Ormond Quay Upper,53P&D (Total),Near Capel St,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315371.9685,234246.7551,Yellow
6037,Ormond Quay Upper,53P&D (Total),Liffey Side Opposite Number 12,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315311.1305,234212.425,Yellow
6038,Ormond Quay Upper,53P&D (Total),Western End Of Ormond House,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315194,234198,Yellow
6039,Ormond Quay Upper,53P&D (Total),"At Number 23, Raymond Quinn Solictors",€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315239,234209,Yellow
6040,Parnell Square East,15 P&D,Opposite Number 8,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315727,235109,Yellow
6041,Parnell Square North,53 P&D (Total),Dublin Writer's Museum,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315648.5441,235166.843,Yellow
6042,Parnell Square North,53 P&D (Total),Garden of Rememberence,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315596.1604,235110.9109,Yellow
6043,Parnell Square North,53 P&D (Total),Garden of Rememberence,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315630.3253,235133.2964,Yellow
6044,Parnell Square North,53 P&D (Total),Coláiste Mhuire School,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315570.8979,235114.6169,Yellow
6045,Parnell Square West,41 P&D (Total),Pillar Room - Rotunda Hospital,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315601.0036,235035.8167,Yellow
6046,Parnell Square West,41 P&D (Total),"Rotunda Hospital, Opposite 43",€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315631.7071,235003.8444,Yellow
6047,Parnell Square West,41 P&D (Total),Rotunda Hospital,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315668.7011,234962.9459,Yellow
