latitude,longitude,altitude,geometry,Meter_Number,Identifier,Location,Area_Ref,Number_of_Paid_Parking_Spaces_,Hours_of_operation,Days_of_operation,Hourly_Tarrif,Restrictions
53.275726052702396,-6.100300184069257,0,Point,179,M179,Sorento Road,Dalkey,3,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27671244159429,-6.104723470463339,0,Point,321,M321,St. Patrick's Avenue Car Park,Dalkey,12,0800 - 1900,Monday to Saturday,1.2,Max stay 3 Hours
53.27670679574599,-6.104680262133852,0,Point,328,M328,St. Patrick's Avenue Car Park,Dalkey,15,0800 - 1900,Monday to Saturday,1.2,Max stay 3 Hours
53.27617001456969,-6.1007894873638575,0,Point,176,M176,Tubbermore Road/Avenue,Dalkey,10,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27681029849949,-6.1026794580805035,0,Point,715,M715,Tubbermore Road,Dalkey,17,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.2764922535312,-6.104200546606308,0,Point,703,M703,Saint Patrick's Avenue,Dalkey,23,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.28658696302411,-6.118072226676313,0,Point,489,,Ballygihen Avenue,Ballygihan Avenue,,0800 - 1900,Monday to Saturday,1,
53.29101221161594,-6.132261797282409,0,Point,435,,Adelaide Street,Dún Laoghaire,22,0800 - 1900,Monday to Saturday,1.5,
53.291530369111555,-6.131469789242325,0,Point,436,,Adelaide Street,Dún Laoghaire,20,0800 - 1900,Monday to Saturday,1.5,
53.29225378726756,-6.130722456401083,0,Point,437,,Adelaide Street (Jct Haddington Tce),Dún Laoghaire,36,0800 - 1900,Monday to Saturday,1.5,
53.29500278291104,-6.1378402728175345,0,Point,443,,Charlemont Avenue,Dún Laoghaire,18,0800 - 1900,Monday to Saturday,1.5,
53.288887558228105,-6.130716804137219,0,Point,426,,Clarinda Park East (1),Dún Laoghaire,21,0800 - 1900,Monday to Saturday,1.5,
53.28787081258382,-6.131393993104055,0,Point,427,,Clarinda Park East (18),Dún Laoghaire,25,0800 - 1900,Monday to Saturday,1.5,
53.287038378531165,-6.132075238142348,0,Point,428,,Clarinda Park East (40),Dún Laoghaire,24,0800 - 1900,Monday to Saturday,1.5,
53.28911347213476,-6.132028743912008,0,Point,312,,Clarinda Park East Car Park,Dún Laoghaire,37,0800 - 1900,Monday to Saturday,1.5,
53.289430568639055,-6.131142041705558,0,Point,423,,Clarinda Park North,Dún Laoghaire,35,0800 - 1900,Monday to Saturday,1.5,
53.28905086560432,-6.132301639195813,0,Point,424,,Clarinda Park West,Dún Laoghaire,50,0800 - 1900,Monday to Saturday,1.5,
53.287398201345695,-6.133714365113667,0,Point,425,,Clarinda Park West (opp. 30),Dún Laoghaire,28,0800 - 1900,Monday to Saturday,1.5,
53.28879866763441,-6.131141163286445,0,Point,311,,Clarinda Park West Car Park,Dún Laoghaire,56,0800 - 1900,Monday to Saturday,1.5,
53.29606586759931,-6.140057972644472,0,Point,442,,Connaught Place (off Crofton Road),Dún Laoghaire,11,0800 - 1900,Monday to Saturday,1.5,
53.293115042636984,-6.138976743249757,0,Point,406,,Convent Lane (Tesco Bloomfields),Dún Laoghaire,13,0800 - 1900,Monday to Saturday,1.5,
53.29166731993242,-6.1381888077539575,0,Point,409,,Convent Road,Dún Laoghaire,12,0800 - 1900,Monday to Saturday,1.5,
53.291907938607324,-6.138045667820209,0,Point,410,,Convent Road,Dún Laoghaire,17,0800 - 1900,Monday to Saturday,1.5,
53.290840755472246,-6.133070391052722,0,Point,419,,Corrig Avenue,Dún Laoghaire,9,0800 - 1900,Monday to Saturday,1.5,
53.28925615628821,-6.133915190399684,0,Point,48,,Corrig Avenue (26/27),Dún Laoghaire,14,0800 - 1900,Monday to Saturday,1.5,
53.287980951972095,-6.134426053768377,0,Point,49,,Corrig Avenue (7),Dún Laoghaire,10,0800 - 1900,Monday to Saturday,1.5,
53.29028385031449,-6.133476051542,0,Point,47,,Corrig Avenue (opp. 3),Dún Laoghaire,6,0800 - 1900,Monday to Saturday,1.5,
53.28751187674628,-6.13588079349188,0,Point,400,,Corrig Park,Dún Laoghaire,8,0800 - 1900,Monday to Saturday,1.5,
53.295269986951276,-6.138455696025206,0,Point,444,,Crofton Avenue,Dún Laoghaire,15,0800 - 1900,Monday to Saturday,1.5,
53.295724713936735,-6.137505081262648,0,Point,440,,Crofton Road,Dún Laoghaire,16,0800 - 1900,Monday to Saturday,1.5,
53.29600135645906,-6.1386975594703035,0,Point,441,,Crofton Road,Dún Laoghaire,14,0800 - 1900,Monday to Saturday,1.5,
53.29128218302553,-6.139334677301928,0,Point,459,,Cross Avenue (Jct Desmond Ave),Dún Laoghaire,43,0800 - 1900,Monday to Saturday,1.5,
53.286208550550114,-6.1338110139812585,0,Point,77,,Crosthwaite Park East,Dún Laoghaire,27,0800 - 1900,Monday to Friday,1,
53.28454358529161,-6.1345383325900045,0,Point,79,,Crosthwaite Park South,Dún Laoghaire,11,0800 - 1900,Monday to Friday,1,
53.286009543388566,-6.134873569765299,0,Point,78,,Crosthwaite Park West,Dún Laoghaire,33,0800 - 1900,Monday to Friday,1,
53.2950440090145,-6.144511653555077,0,Point,449,,Cumberland Street,Dún Laoghaire,20,0800 - 1900,Monday to Saturday,1.5,
53.293821499502016,-6.136588816106589,0,Point,408,,Elbana Avenue,Dún Laoghaire,15,0800 - 1900,Monday to Saturday,1.5,
53.29473225917132,-6.139047114834621,0,Point,446,,George's Place,Dún Laoghaire,8,0800 - 1900,Monday to Saturday,1.5,
53.29532068216767,-6.1416349034524815,0,Point,448,,George's Place,Dún Laoghaire,20,0800 - 1900,Monday to Saturday,1.5,
53.29493213828194,-6.142245992516294,0,Point,450,,George's Street Lower,Dún Laoghaire,11,0800 - 1900,Monday to Saturday,1.5,
53.29118864269526,-6.133663287528848,0,Point,418,,George's Street Upper,Dún Laoghaire,11,0800 - 1900,Monday to Saturday,1.5,
53.291433239076596,-6.1331862379137,0,Point,438,,Haigh Terrace,Dún Laoghaire,28,0800 - 1900,Monday to Saturday,1.5,
53.29543470021374,-6.139247042257845,0,Point,445,,Kelly's Avenue,Dún Laoghaire,11,0800 - 1900,Monday to Saturday,1.5,
53.29008961431266,-6.146679373348973,0,Point,213,,Knapton Road,Dún Laoghaire,44,0800 - 1900,Monday to Friday,1,
53.29273889471391,-6.140993422530446,0,Point,456,,Library Road (21),Dún Laoghaire,8,0800 - 1900,Monday to Saturday,1.5,
53.29185362121914,-6.14059576221368,0,Point,455,,Library Road (3),Dún Laoghaire,63,0800 - 1900,Monday to Saturday,1.5,
53.29358334099269,-6.134812704558248,0,Point,431,,Marine Road,Dún Laoghaire,6,0800 - 1900,Monday to Saturday,1.5,
53.29149079747456,-6.129104841056183,0,Point,439,,Marine Terrace (6),Dún Laoghaire,7,0800 - 1900,Monday to Saturday,1.5,
53.29137159849148,-6.130181197955961,0,Point,432,,Mellifont Avenue,Dún Laoghaire,26,0800 - 1900,Monday to Saturday,1.5,
53.29077238807445,-6.130681837698297,0,Point,433,,Mellifont Avenue,Dún Laoghaire,19,0800 - 1900,Monday to Saturday,1.5,
53.29034140404422,-6.131387406785357,0,Point,434,,Mellifont Avenue,Dún Laoghaire,16,0800 - 1900,Monday to Saturday,1.5,
53.290807478372116,-6.136800633188664,0,Point,412,,Mulgrave Street,Dún Laoghaire,10,0800 - 1900,Monday to Saturday,1.5,
53.291392957698754,-6.13616874484717,0,Point,411,,Mulgrave Street,Dún Laoghaire,19,0800 - 1900,Monday to Saturday,1.5,
53.28926565863113,-6.137088450528807,0,Point,413,,Mulgrave Street (39),Dún Laoghaire,29,0800 - 1900,Monday to Saturday,1.5,
53.28479350827751,-6.136633649353808,0,Point,470,,Myrtle Park,Dún Laoghaire,15,0800 - 1900,Monday to Friday,1,
53.291775348454394,-6.142453666249738,0,Point,56,,Northcote Avenue,Dún Laoghaire,9,0800 - 1900,Monday to Saturday,1.5,
53.29122966956494,-6.135184403904365,0,Point,414,,Northumberland Avenue,Dún Laoghaire,20,0800 - 1900,Monday to Saturday,1.5,
53.29092600347509,-6.135303516893068,0,Point,415,,Northumberland Avenue,Dún Laoghaire,16,0800 - 1900,Monday to Saturday,1.5,
53.28945949948622,-6.136016742955435,0,Point,417,,Northumberland Avenue (20),Dún Laoghaire,37,0800 - 1900,Monday to Saturday,1.5,
53.29047593012603,-6.135530625445311,0,Point,416,,Northumberland Avenue (41),Dún Laoghaire,8,0800 - 1900,Monday to Saturday,1.5,
53.288380448951905,-6.143869746900453,0,Point,259,,Oakwood (off Tivoli Road),Dún Laoghaire,7,0800 - 1900,Monday to Friday,1,
53.290937704557294,-6.12868645697113,0,Point,430,,Park Road (2),Dún Laoghaire,17,0800 - 1900,Monday to Saturday,1.5,
53.28980508285383,-6.1294617745956765,0,Point,429,,Park Road,Dún Laoghaire,13,0800 - 1900,Monday to Saturday,1.5,
53.29175310435401,-6.137031869663684,0,Point,404,,Patrick Street,Dún Laoghaire,18,0800 - 1900,Monday to Saturday,1.5,
53.290938585674056,-6.137981695947747,0,Point,405,,Patrick Street,Dún Laoghaire,25,0800 - 1900,Monday to Saturday,1.5,
53.28952753577511,-6.1383602234623,0,Point,465,,Patrick Street (46A),Dún Laoghaire,11,0800 - 1900,Monday to Saturday,1.5,
53.28828119963065,-6.138489374371732,0,Point,466,,Patrick Street (56),Dún Laoghaire,10,0800 - 1900,Monday to Saturday,1.5,
53.29209408626103,-6.129223074147259,0,Point,401,,Queens Road,Dún Laoghaire,22,0800 - 1900,Monday to Saturday,1.5,
53.28821980265731,-6.1296810426221695,0,Point,14,,Rosmeen Gardens,Dún Laoghaire,33,0800 - 1900,Monday to Friday,1,
53.28616196816843,-6.1363574422106995,0,Point,80,,Royal Terrace East,Dún Laoghaire,43,0800 - 1900,Monday to Friday,1,
53.28699984372453,-6.136922933651623,0,Point,15,,Royal Terrace North,Dún Laoghaire,10,0800 - 1900,Monday to Friday,1,
53.28637208606198,-6.137451687268546,0,Point,82,,Royal Terrace West,Dún Laoghaire,82,0800 - 1900,Monday to Friday,1,
53.291751630493664,-6.141358140815724,0,Point,22,,St. Mary's Street,Dún Laoghaire,42,0800 - 1900,Monday to Saturday,1.5,
53.293257566325885,-6.136889772211422,0,Point,402,,Sussex Street,Dún Laoghaire,17,0800 - 1900,Monday to Saturday,1.5,
53.29324091572515,-6.136909870039851,0,Point,403,,Sussex Street,Dún Laoghaire,12,0800 - 1900,Monday to Saturday,1.5,
53.29341370975358,-6.1364722671720315,0,Point,407,,Sussex Street,Dún Laoghaire,7,0800 - 1900,Monday to Saturday,1.5,
53.290443203706246,-6.139765484078826,0,Point,461,,Tivoli Terrace East (16),Dún Laoghaire,24,0800 - 1900,Monday to Saturday,1.5,
53.289007266519256,-6.139826109602142,0,Point,17,,Tivoli Terrace East (4/5),Dún Laoghaire,17,0800 - 1900,Monday to Saturday,1.5,
